BlockId,Col,Row,Value,Replicate,Layer
1,1.0,1.0,3.404137,1default
1,2.0,1.0,2.027048,1default
1,3.0,1.0,4.687384,1default
1,4.0,1.0,3.916073,1default
1,5.0,1.0,6.767903,1default
1,6.0,1.0,4.543171,1default
1,7.0,1.0,7.598324,1default
1,8.0,1.0,11.38125,1default
1,9.0,1.0,5.296307,1default
1,10.0,1.0,26.267202,1default
1,1.0,2.0,5.633497,1default
1,2.0,2.0,3.540348,1default
1,3.0,2.0,4.636606,1default
1,4.0,2.0,5.26651,1default
1,5.0,2.0,9.013679,1default
1,6.0,2.0,7.677242,1default
1,7.0,2.0,11.327046,1default
1,8.0,2.0,10.663179,1default
1,9.0,2.0,19.731997,1default
1,10.0,2.0,46.078903,1default
1,1.0,3.0,4.853907,1default
1,2.0,3.0,4.601009,1default
1,3.0,3.0,7.825504,1default
1,4.0,3.0,8.998273,1default
1,5.0,3.0,9.992743,1default
1,6.0,3.0,10.814246,1default
1,7.0,3.0,14.35499,1default
1,8.0,3.0,18.282204,1default
1,9.0,3.0,34.015163,1default
1,10.0,3.0,66.54513,1default
1,1.0,4.0,4.132018,1default
1,2.0,4.0,8.260148,1default
1,3.0,4.0,11.458695,1default
1,4.0,4.0,14.018282,1default
1,5.0,4.0,12.5921,1default
1,6.0,4.0,13.34654,1default
1,7.0,4.0,16.9691,1default
1,8.0,4.0,20.091824,1default
1,9.0,4.0,52.11017,1default
1,10.0,4.0,74.03927,1default
1,1.0,5.0,9.591706,1default
1,2.0,5.0,10.01192,1default
1,3.0,5.0,9.660151,1default
1,4.0,5.0,12.402487,1default
1,5.0,5.0,15.885124,1default
1,6.0,5.0,17.191097,1default
1,7.0,5.0,14.987767,1default
1,8.0,5.0,19.875074,1default
1,9.0,5.0,60.192825,1default
1,10.0,5.0,87.61601,1default
1,1.0,6.0,11.451843,1default
1,2.0,6.0,13.231794,1default
1,3.0,6.0,14.462707,1default
1,4.0,6.0,16.729567,1default
1,5.0,6.0,20.660746,1default
1,6.0,6.0,22.161179,1default
1,7.0,6.0,24.366137,1default
1,8.0,6.0,31.222528,1default
1,9.0,6.0,64.75574,1default
1,10.0,6.0,109.18012,1default
1,1.0,7.0,13.700928,1default
1,2.0,7.0,12.938799,1default
1,3.0,7.0,19.388845,1default
1,4.0,7.0,26.102333,1default
1,5.0,7.0,21.191004,1default
1,6.0,7.0,19.870037,1default
1,7.0,7.0,23.7428,1default
1,8.0,7.0,31.46797,1default
1,9.0,7.0,65.0731,1default
1,10.0,7.0,85.454796,1default
1,1.0,8.0,16.277111,1default
1,2.0,8.0,17.654108,1default
1,3.0,8.0,22.53886,1default
1,4.0,8.0,19.878254,1default
1,5.0,8.0,22.543606,1default
